frame,dt,N,areaSigned,areaAbs,targetArea,areaErr,perim,minEdge,maxEdge,avgEdge,flipped,selfIntersect,grabbed,dragInside,iters,areaStiff,edgeStiff,diagStiff,maxCorr,damping
141,0.016667,20,31179.529297,31179.529297,38276.382812,7096.853516,628.544556,31.427063,31.427362,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
142,0.016667,20,31179.531250,31179.531250,38276.382812,7096.851562,628.544495,31.427063,31.427362,31.427225,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
143,0.016667,20,31179.531250,31179.531250,38276.382812,7096.851562,628.544556,31.427063,31.427334,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
144,0.016667,20,31179.533203,31179.533203,38276.382812,7096.849609,628.544617,31.427063,31.427340,31.427231,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
145,0.016667,20,31179.533203,31179.533203,38276.382812,7096.849609,628.544556,31.427063,31.427362,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
146,0.016667,20,31179.533203,31179.533203,38276.382812,7096.849609,628.544495,31.427063,31.427389,31.427225,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
147,0.016667,20,31179.529297,31179.529297,38276.382812,7096.853516,628.544556,31.427063,31.427387,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
148,0.016667,20,31179.525391,31179.525391,38276.382812,7096.857422,628.544434,31.427063,31.427341,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
149,0.016667,20,31179.523438,31179.523438,38276.382812,7096.859375,628.544373,31.427063,31.427351,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
150,0.016667,20,31179.519531,31179.519531,38276.382812,7096.863281,628.544434,31.427078,31.427332,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
151,0.016667,20,31179.515625,31179.515625,38276.382812,7096.867188,628.544373,31.427074,31.427322,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
